scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-08-05T06:41:32+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:43:33+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:45:35+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:47:36+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:49:37+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:51:39+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:53:40+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:55:42+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:57:43+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T06:59:44+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:01:46+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:03:47+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:05:48+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:07:50+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:09:51+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:11:52+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:13:54+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:15:55+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:17:56+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:19:58+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:21:59+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:24:00+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:26:02+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:28:03+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:30:05+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:32:06+05:30,200,0,200,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:44:08+05:30,200,17,183,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
2026-08-05T07:46:10+05:30,200,24,176,Reporting Date & Time :05-08-2026(WEDNESDAY) :: 04:00 PM,05-08-2026,WEDNESDAY,04:00 PM
